Status
Checking HiRTOS.tla / HiRTOS_all_safety_and_liveness.cfg
Success Fingerprint collision probability: 9.1E-6
Start: 00:18:34 (May 25), end: 07:54:21 (May 25)

States
Time	Diameter	Found	Distinct	Queue
02:13:09	146	8 712 442	2 403 266	41 089
02:14:09	146	8 775 978	2 420 317	41 921
02:15:09	147	8 839 470	2 437 203	42 309
02:16:09	147	8 902 666	2 456 031	43 238
02:17:09	147	8 965 761	2 471 633	43 808
02:18:09	148	9 028 919	2 490 191	44 406
02:19:09	148	9 092 125	2 507 387	45 321
02:20:09	149	9 155 336	2 523 918	45 892
02:21:09	149	9 219 283	2 543 390	47 202
02:22:09	149	9 282 658	2 559 463	47 647
02:23:09	150	9 344 610	2 576 485	48 699
02:24:09	150	9 408 757	2 595 571	49 587
02:25:09	150	9 471 299	2 611 322	50 095
02:26:09	151	9 534 692	2 628 925	51 360
02:27:09	151	9 598 380	2 647 834	52 008
02:28:10	151	9 660 740	2 663 465	52 475
02:29:10	152	9 723 678	2 680 570	53 368
02:30:10	152	9 786 596	2 699 591	54 206
02:31:10	152	9 849 041	2 715 420	54 847
02:32:10	153	9 912 242	2 732 139	55 423
02:33:10	153	9 975 868	2 751 241	56 112
02:34:10	153	10 039 939	2 768 147	57 127
02:35:10	154	10 102 617	2 783 979	57 693
02:36:10	154	10 166 201	2 802 381	58 008
02:37:10	154	10 227 946	2 820 298	58 848
02:38:10	154	10 290 433	2 835 655	59 232
02:39:10	155	10 353 736	2 852 327	59 701
02:40:10	155	10 416 676	2 871 382	60 047
02:41:10	155	10 480 040	2 887 896	60 677
02:42:10	156	10 543 145	2 903 589	61 180
02:43:10	156	10 606 678	2 921 649	61 213
02:44:10	156	10 670 405	2 940 755	62 212
02:45:10	156	10 731 321	2 955 729	62 356
02:46:10	157	10 794 398	2 972 190	62 644
02:47:10	157	10 858 156	2 990 862	63 014
02:48:10	157	10 921 611	3 008 645	63 492
02:49:10	157	10 984 629	3 024 022	63 710
02:50:10	158	11 047 809	3 040 790	63 945
02:51:10	158	11 111 540	3 059 829	63 988
02:52:11	158	11 175 462	3 076 654	64 265
02:53:11	158	11 237 630	3 091 997	64 342
02:54:11	159	11 300 396	3 109 308	64 487
02:55:11	159	11 364 097	3 128 539	64 364
02:56:11	159	11 426 798	3 144 114	64 224
02:57:11	160	11 489 760	3 159 866	63 969
02:58:11	160	11 553 136	3 177 930	64 018
02:59:11	160	11 616 572	3 196 608	63 638
03:00:11	160	11 676 206	3 211 028	63 506
03:01:11	161	11 738 739	3 227 135	63 216
03:02:11	161	11 801 887	3 245 455	63 361
03:03:11	161	11 865 092	3 263 135	62 710
03:04:11	161	11 927 972	3 278 244	62 572
03:05:11	162	11 990 535	3 294 784	62 632
03:06:11	162	12 053 370	3 313 493	61 979
03:07:11	162	12 116 117	3 329 688	61 823
03:08:11	163	12 178 166	3 344 518	61 385
03:09:11	163	12 241 031	3 362 170	61 287
03:10:11	163	12 303 642	3 380 749	60 780
03:11:11	163	12 365 839	3 395 675	60 488
03:12:11	164	12 428 231	3 411 532	59 831
03:13:11	164	12 491 370	3 429 799	59 998
03:14:13	164	12 553 041	3 446 150	58 910
03:15:13	164	12 615 511	3 461 042	58 500
03:16:13	165	12 678 632	3 478 144	58 038
03:17:13	165	12 741 334	3 496 394	57 451
03:18:13	165	12 803 769	3 511 406	57 122
03:19:13	166	12 866 677	3 527 575	56 481
03:20:13	166	12 929 606	3 545 877	56 569
03:21:13	166	12 992 101	3 561 543	55 401
03:22:13	167	13 054 528	3 576 818	55 082
03:23:13	167	13 118 186	3 594 827	54 856
03:24:14	167	13 180 846	3 612 099	54 367
03:25:14	167	13 243 380	3 627 024	54 115
03:26:14	168	13 304 749	3 643 886	53 895
03:27:14	168	13 367 448	3 661 997	53 622
03:28:14	168	13 429 479	3 677 189	53 919
03:29:14	169	13 491 970	3 693 623	53 510
03:30:14	169	13 554 548	3 712 253	53 698
03:31:14	169	13 616 906	3 727 491	53 546
03:32:14	170	13 679 273	3 744 007	53 828
03:33:14	170	13 742 298	3 762 736	54 181
03:34:14	170	13 804 536	3 778 357	53 813
03:35:14	171	13 866 587	3 794 438	54 203
03:36:14	171	13 929 597	3 812 733	54 269
03:37:14	171	13 991 986	3 829 581	54 455
03:38:14	172	14 054 171	3 844 852	54 621
03:39:14	172	14 114 975	3 862 316	54 608
03:40:14	172	14 177 305	3 880 525	55 096
03:41:14	172	14 239 957	3 895 812	55 169
03:42:14	173	14 302 332	3 912 804	54 979
03:43:14	173	14 365 513	3 931 811	55 430
03:44:14	173	14 428 387	3 947 352	55 613
03:45:14	174	14 491 474	3 963 872	55 467
03:46:14	174	14 554 792	3 982 916	55 954
03:47:14	174	14 617 325	3 998 858	55 574
03:48:14	175	14 680 076	4 015 177	55 841
03:49:14	175	14 742 696	4 033 505	56 710
03:50:15	175	14 805 056	4 050 550	56 114
03:51:15	175	14 867 240	4 065 843	56 375
03:52:15	176	14 930 111	4 083 287	56 007
03:53:15	176	14 991 872	4 101 664	56 627
03:54:15	176	15 054 117	4 117 074	56 965
03:55:15	177	15 116 237	4 133 133	56 577
